Order ID,Date,Total,Tax,Order Status,Order Type
02965ad0-753a-4257-bdac-edd66991c28d,2023-08-03 18:21:50.544,0.00,0.00,UNSHIPPED,ONLINE
1d21ece9-307a-428c-b71b-d242a44250a5,2023-08-03 17:23:03.536,69990.00,0.00,UNSHIPPED,COD
3b46ca7e-1104-4dd7-bce2-b5e22bc1fe66,2023-08-10 23:29:18.421,1643.30,0.00,UNSHIPPED,ONLINE
3dfe1732-b95f-40e3-80b1-a8f5ec6124f8,2023-08-03 18:22:04.107,0.00,0.00,UNSHIPPED,ONLINE
4490b36b-54a9-408c-b9aa-4e266479ff03,2023-08-10 23:37:54.111,66999.00,0.00,UNSHIPPED,ONLINE
4cf95ce4-8895-4a10-b1dd-9077603bc427,2023-08-03 17:53:15.048,5699.00,0.00,UNSHIPPED,ONLINE
57e7fb1f-4b4e-443b-b974-3181a9969088,2023-08-10 16:16:47.609,101989.00,0.00,UNSHIPPED,COD
5a8fc393-f4e4-4339-ae70-77c86e8c6b94,2023-08-03 13:16:25.765,163990.00,0.00,UNSHIPPED,COD
739936b3-41ae-4031-9217-7f6cd7742fb6,2023-08-10 16:23:39.299,28999.00,0.00,UNSHIPPED,ONLINE
75a9705e-07ee-4229-ac26-63e9e8b7c970,2023-08-03 18:24:47.893,0.00,0.00,UNSHIPPED,ONLINE
930316e4-53ce-448a-b989-f65635fda168,2023-08-03 18:21:45.466,0.00,0.00,UNSHIPPED,ONLINE
98fcba06-9c0c-4e41-b818-0f973231890e,2023-08-03 17:47:34.947,72990.00,0.00,UNSHIPPED,ONLINE
a21450b9-8849-4d49-b26a-5a654b0b0d65,2023-08-03 15:49:15.464,79990.00,0.00,UNSHIPPED,ONLINE
b5fe3f20-76b9-40bd-8440-95c94d271f9f,2023-08-10 23:14:30.43,2283.00,0.00,UNSHIPPED,COD
bd5b53ca-b40f-4c6f-b6db-c08c542fecf6,2023-08-03 18:23:03.856,29999.00,0.00,UNSHIPPED,ONLINE
c09d6780-2ebf-4964-b063-40f5dd044c28,2023-08-10 23:33:16.294,2283.00,0.00,UNSHIPPED,ONLINE
c2bd63cb-3e1b-40d5-be8b-b97bf5945850,2023-08-10 23:31:26.063,152980.00,0.00,UNSHIPPED,ONLINE
dfe77a2b-ef50-4268-a8fb-91f39c70b829,2023-08-10 16:26:13.858,5699.00,0.00,UNSHIPPED,COD
